searge,name,side,desc
field_110878_h,siameseOcelotTextures,2,
field_110880_a,mooshroomTextures,2,
field_110882_a,silverfishTextures,2,
field_110884_f,shearedSheepTextures,2,
field_110885_a,sheepTextures,2,
field_110887_f,pigTextures,2,
field_110888_a,saddledPigTextures,2,
field_110890_f,spiderTextures,2,
field_110891_a,spiderEyesTextures,2,
field_110893_a,caveSpiderTextures,2,
field_110895_a,snowManTextures,2,
field_110897_a,slimeTextures,2,
field_110899_a,ironGolemTextures,2,
field_110901_a,squidTextures,2,
field_110903_f,villagerTextures,2,
field_110904_g,farmerVillagerTextures,2,
field_110905_l,smithVillagerTextures,2,
field_110906_m,butcherVillagerTextures,2,
field_110907_k,priestVillagerTextures,2,
field_110908_h,librarianVillagerTextures,2,
field_110910_a,witchTextures,2,
field_110912_f,witherTextures,2,
field_110913_a,invulnerableWitherTextures,2,
field_110915_f,tamedWolfTextures,2,
field_110916_g,anrgyWolfTextures,2,
field_110917_a,wolfTextures,2,
field_110918_h,wolfCollarTextures,2,
field_110920_a,chickenTextures,2,
field_110922_T,locationLightMap,2,
field_110923_r,locationSnowPng,2,
field_110924_q,locationRainPng,2,
field_110925_j,locationCloudsPng,2,
field_110926_k,locationEndSkyPng,2,
field_110927_h,locationMoonPhasesPng,2,
field_110928_i,locationSunPng,2,
field_110929_d,RES_UNDERWATER_OVERLAY,2,
field_110930_b,RES_ITEM_GLINT,2,
field_110931_c,RES_MAP_BACKGROUND,2,
field_110932_a,threadDownloadImageData,2,
field_110973_g,frameCounter,2,
field_110974_d,originY,2,
field_110975_c,originX,2,
field_110976_a,framesTextureData,2,
field_110977_n,minV,2,
field_110978_o,maxV,2,
field_110979_l,minU,2,
field_110980_m,maxU,2,
field_110982_k,animationMetadata,2,
field_110983_h,tickCounter,2,
field_110984_i,iconName,2,
field_110999_b,missingTextureData,2,
field_111000_c,dataBuffer,2,
field_111001_a,missingTexture,2,
field_111053_a,numericVariablePattern,2,"Pattern that matches numeric variable placeholders in a resource string, such as ""%d"", ""%3$d"", ""%.2f"""
field_111113_b,defaultValue,2,
field_111114_c,shouldWatch,2,
field_111115_a,unlocalizedName,2,
field_111118_b,maximumValue,2,
field_111119_c,description,2,
field_111120_a,minimumValue,2,
field_111132_f,baseValue,2,
field_111133_g,needsUpdate,2,
field_111134_d,mapByName,2,
field_111135_e,mapByUUID,2,
field_111136_b,genericAttribute,2,The Attribute this is an instance of
field_111137_c,mapByOperation,2,
field_111138_a,attributeMap,2,The BaseAttributeMap this attributeInstance can be found in
field_111139_h,cachedValue,2,
field_111153_b,attributesByName,2,
field_111154_a,attributes,2,
field_111162_d,attributeInstanceSet,2,
field_111163_c,descriptionToAttributeInstanceMap,2,
field_111170_d,attributeId,2,
field_111171_e,isSaved,2,"If false, this modifier is not saved in NBT. Used for ""natural"" modifiers like speed boost from sprinting"
field_111172_b,operation,2,
field_111173_c,name,2,
field_111174_a,amount,2,
field_111180_a,horseHost,2,
field_111192_g,previousTotalWorldTime,2,time what is using to check if InhabitedTime should be calculated
field_111193_e,playerInstanceList,2,This field is using when chunk should be processed (every 8000 ticks)
field_111198_g,previousWorldTime,2,time what is using when chunk InhabitedTime is being calculated
field_111203_a,moonPhaseFactors,2,
field_111204_q,inhabitedTime,2,the cumulative number of ticks players have been in this chunk
field_111218_cA,iconString,2,The string associated with this Item's Icon.
field_111241_a,horse,2,
field_111242_f,horse,2,
field_111263_d,movementSpeed,2,
